,";",".","program","id",",","const","+","-","num","'","letter","array","[","]","of","integer","real","boolean","char","digits","..","epsilon","procedure","function","(",")","var","begin","end","assignop","if","then","else","for","to","do","read","write","relop","addop","mulop","not","uminus",":","=","record","while","repeat","until","$","program_struct","program_head","program_body","idlist","const_declarations","const_declaration","const_value","var_declarations","var_declaration","type","basic_type","period","subprogram_declarations","subprogram","subprogram_head","subprogram_body","formal_parameter","parameter_list","parameter","var_parameter","value_parameter","compound_statement","statement_list","statement","variable_list","variable","id_varpart","procedure_call","else_part","expression_list","expression","simple_expression","term","factor","record_type","field_declarations",
30,R57,,,S50,,,,,,,,,,,,,,,,,,,,,,,,S51,R57,,S52,,,S53,,,S54,S55,,,,,,,,,S56,S57,,,,,,,,,,,,,,,,,,,,,,,,45,46,47,,48,,49,,,,,,,,,
31,,,,S58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,S62,,,,S63,S64,S65,S66,,,,,,,,,,,,,,,,,,,,,,,,,,,S67,,,,,,,,,,,,,,59,60,,,,,,,,,,,,,,,,,,,,,,,,61,,
33,,,,S20,,,,,,,,,,,,,,,,,,,R15,R15,,,,R15,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,S70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,S71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,R13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,S72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
