,";",".","program","id",",","const","+","-","num","'","letter","array","[","]","of","integer","real","boolean","char","digits","..","epsilon","procedure","function","(",")","var","begin","end","assignop","if","then","else","for","to","do","read","write","relop","addop","mulop","not","uminus",":","=","record","while","repeat","until","$","program_struct","program_head","program_body","idlist","const_declarations","const_declaration","const_value","var_declarations","var_declaration","type","basic_type","period","subprogram_declarations","subprogram","subprogram_head","subprogram_body","formal_parameter","parameter_list","parameter","var_parameter","value_parameter","compound_statement","statement_list","statement","variable_list","variable","id_varpart","procedure_call","else_part","expression_list","expression","simple_expression","term","factor","record_type","field_declarations",
127,,,,,,,,,,,,S62,,,,S63,S64,S65,S66,,,,,,,,,,,,,,,,,,,,,,,,,,,S67,,,,,,,,,,,,,,232,60,,,,,,,,,,,,,,,,,,,,,,,,61,,
128,R9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,R14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,S234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,,,,,,,,,,,,,,,
131,,,,S20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,S31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,S237,,,,,,,,,,,,,,,,,,,,,,,,,S238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,R35,,,,,,,,,,,,,,,,,,,,,,,,,R35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,R36,,,,,,,,,,,,,,,,,,,,,,,,,R36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,R37,,,,,,,,,,,,,,,,,,,,,,,,,R37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,S20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,,239,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,S63,S64,S65,S66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,
139,S237,,,,,,,,,,,,,,,,,,,,,,,,,S241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,R46,,,,,,,,,,,,,,,,,,,,,,,,,,,,R46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,R77,,,,,,,,,,,,,,,,,,,,,,,,,,,,R77,,,,,,,,,,R77,R77,R77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,R48,,,,,,,,,,,,,,,,,,,,,,,,,,,,R48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,R71,,,,,,,,,,,,,,,,,,,,,,,,,,,,R71,,,,,,,,,,S242,S243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,R73,,,,,,,,,,,,,,,,,,,,,,,,,,,,R73,,,,,,,,,,R73,R73,S244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,R75,,,,,,,,,,,,,,,,,,,,,,,,,,,,R75,,,,,,,,,,R75,R75,R75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,R63,S246,,,,,,,,,,,S247,,,,,,,,,,,,S248,,,,R63,,,,,,,,,,R63,R63,R63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,,,,,,,,,,
147,,,,S146,,,,S147,S148,S149,,,,,,,,,,,,,,,S150,,,,,,,,,,,,,,,,,S151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,,249,,,
148,R76,,,,,,,,,,,,,,,,,,,,,,,,,,,,R76,,,,,,,,,,R76,R76,R76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,S250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,S194,,,,S195,S196,S197,,,,,,,,,,,,,,,S198,,,,,,,,,,,,,,,,,S199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,251,191,192,193,,,
151,,,,S146,,,,S147,S148,S149,,,,,,,,,,,,,,,S150,,,,,,,,,,,,,,,,,S151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,,252,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,S83,,,,,,,,,,,S84,,,,,,,,,,,,,,,,,R63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,
154,,,,,R77,,,,,,,,,R77,,,,,,,,,,,,,,,,,,,,,,,,,R77,R77,R77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,S253,,,,,,,,,S254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,R69,,,,,,,,,R69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,R71,,,,,,,,,R71,,,,,,,,,,,,,,,,,,,,,,,,,S255,S256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,R73,,,,,,,,,R73,,,,,,,,,,,,,,,,,,,,,,,,,R73,R73,S257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,R75,,,,,,,,,R75,,,,,,,,,,,,,,,,,,,,,,,,,R75,R75,R75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,S259,,,R63,,,,,,,,S260,R63,,,,,,,,,,,S261,,,,,,,,,,,,,,R63,R63,R63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,,,,,,,,,,
161,,,,S160,,,,S161,S162,S163,,,,,,,,,,,,,,,S164,,,,,,,,,,,,,,,,,S165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,262,,,
162,,,,,R76,,,,,,,,,R76,,,,,,,,,,,,,,,,,,,,,,,,,R76,R76,R76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,S263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,S194,,,,S195,S196,S197,,,,,,,,,,,,,,,S198,,,,,,,,,,,,,,,,,S199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,264,191,192,193,,,
165,,,,S160,,,,S161,S162,S163,,,,,,,,,,,,,,,S164,,,,,,,,,,,,,,,,,S165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,265,,,
166,,,,,R77,,,,,,,,,,,,,,,,,,,,,R77,,,,,,,,,,,,,R77,R77,R77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,S266,,,,,,,,,,,,,,,,,,,,,S267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,R69,,,,,,,,,,,,,,,,,,,,,R69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,R71,,,,,,,,,,,,,,,,,,,,,R71,,,,,,,,,,,,,S268,S269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,R73,,,,,,,,,,,,,,,,,,,,,R73,,,,,,,,,,,,,R73,R73,S270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,R75,,,,,,,,,,,,,,,,,,,,,R75,,,,,,,,,,,,,R75,R75,R75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,S272,,,R63,,,,,,,,S273,,,,,,,,,,,,S274,R63,,,,,,,,,,,,,R63,R63,R63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,,,,,,,,,,
173,,,,S172,,,,S173,S174,S175,,,,,,,,,,,,,,,S176,,,,,,,,,,,,,,,,,S177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,,,,,275,,,
174,,,,,R76,,,,,,,,,,,,,,,,,,,,,R76,,,,,,,,,,,,,R76,R76,R76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,S276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,S194,,,,S195,S196,S197,,,,,,,,,,,,,,,S198,,,,,,,,,,,,,,,,,S199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,277,191,192,193,,,
177,,,,S172,,,,S173,S174,S175,,,,,,,,,,,,,,,S176,,,,,,,,,,,,,,,,,S177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,,,,,278,,,
178,R45,,,,,,,,,,,,,,,,,,,,,,,,,,,,R45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,R57,,,S283,,,,,,,,,,,,,,,,,,,,,,,,S284,R57,,S285,,R57,S286,,,S287,S288,,,,,,,,,S289,S290,,,,,,,,,,,,,,,,,,,,,,,,279,,280,,281,,282,,,,,,,,,
180,,,,S295,,,,S296,S297,S298,,,,,,,,,,,,,,,S299,,,,,,,,,,,,,,,,,S300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,,,,,,292,293,294,,,
181,,,,S92,,,,S93,S94,S95,,,,,,,,,,,,,,,S96,,,,,,,,,,,,,,,,,S97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,301,91,,,
182,,,,S92,,,,S93,S94,S95,,,,,,,,,,,,,,,S96,,,,,,,,,,,,,,,,,S97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,302,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R60,,,,,,,R60,R60,R60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,S304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,,,,,,,,,,,
185,,,,S160,,,,S161,S162,S163,,,,,,,,,,,,,,,S164,,,,,,,,,,,,,,,,,S165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,305,156,157,158,159,,,
186,,,,S172,,,,S173,S174,S175,,,,,,,,,,,,,,,S176,,,,,,,,,,,,,,,,,S177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,306,168,169,170,171,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R81,,,,,,,R81,R81,R81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,S307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,,R77,,,,,,,,,,,,,R77,R77,R77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,,S308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,,,R71,,,,,,,,,,,,,S309,S310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,,R73,,,,,,,,,,,,,R73,R73,S311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,,R75,,,,,,,,,,,,,R75,R75,R75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,S313,,,,,,,,,,,S314,,,,,,,,,,,,S315,R63,,,,,,,,,,,,,R63,R63,R63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,,,,,,,,,,
195,,,,S194,,,,S195,S196,S197,,,,,,,,,,,,,,,S198,,,,,,,,,,,,,,,,,S199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,,,,316,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,,R76,,,,,,,,,,,,,R76,R76,R76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,S317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,S194,,,,S195,S196,S197,,,,,,,,,,,,,,,S198,,,,,,,,,,,,,,,,,S199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,318,191,192,193,,,
199,,,,S194,,,,S195,S196,S197,,,,,,,,,,,,,,,S198,,,,,,,,,,,,,,,,,S199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,,,,319,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R80,,,,,,,R80,R80,R80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,S325,,,,S326,S327,S328,,,,,,,,,,,,,,,S329,,,,,,,,,,,,,,,,,S330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,,,,,321,322,323,324,,,
202,,,,,S331,,,,,,,,,,,,,,,,,,,,,S332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,R59,,,,,,,,,,,,,,,,,,,,,R59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,S334,,,R63,,,,,,,,S335,,,,,,,,,,,,,R63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,,,,,,,,,,
205,,,,,S266,,,,,,,,,,,,,,,,,,,,,S336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,R57,,,S50,,,,,,,,,,,,,,,,,,,,,,,,S51,R57,,S52,,,S53,,,S54,S55,,,,,,,,,S56,S57,,,,,,,,,,,,,,,,,,,,,,,,45,,337,,48,,49,,,,,,,,,
207,,,,S342,,,,S343,S344,S345,,,,,,,,,,,,,,,S346,,,,,,,,,,,,,,,,,S347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,,,,,,339,340,341,,,
208,,,,S106,,,,S107,S108,S109,,,,,,,,,,,,,,,S110,,,,,,,,,,,,,,,,,S111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,348,105,,,
209,,,,S106,,,,S107,S108,S109,,,,,,,,,,,,,,,S110,,,,,,,,,,,,,,,,,S111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,349,,,
210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R60,,,R60,R60,R60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,,,S351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,
212,,,,S160,,,,S161,S162,S163,,,,,,,,,,,,,,,S164,,,,,,,,,,,,,,,,,S165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,352,156,157,158,159,,,
213,,,,S172,,,,S173,S174,S175,,,,,,,,,,,,,,,S176,,,,,,,,,,,,,,,,,S177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,353,168,169,170,171,,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R81,,,R81,R81,R81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,S354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,,,S355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R80,,,R80,R80,R80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,S146,,,,S147,S148,S149,,,,,,,,,,,,,,,S150,,,,,,,,,,,,,,,,,S151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,356,143,144,145,,,
219,,,,S362,,,,S363,S364,S365,,,,,,,,,,,,,,,S366,,,,,,,,,,,,,,,,,S367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,,,,,358,359,360,361,,,
220,,,,S172,,,,S173,S174,S175,,,,,,,,,,,,,,,S176,,,,,,,,,,,,,,,,,S177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,368,168,169,170,171,,,
221,S79,,,,,,,,,,,,,,,,,,,,,,,,,,,,S369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,S204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,203,,,,,,,,,,,
225,,,,S172,,,,S173,S174,S175,,,,,,,,,,,,,,,S176,,,,,,,,,,,,,,,,,S177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,373,168,169,170,171,,,
226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,S376,,,,,,,,,S377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,S378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,S62,,,,S63,S64,S65,S66,,,,,,,,,,,,,,,,,,,,,,,,,,,S67,,,,,,,,,,,,,,379,60,,,,,,,,,,,,,,,,,,,,,,,,61,,
231,,,,S20,,,,,,,,,,,,,,,,,,,,,,,,,S381,,,,,,,,,,,,,,,,,,,,,,,,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,R17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,R44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,R57,,,S50,,,,,,,,,,,,,,,,,,,,,,,,S51,R57,,S52,,,S53,,,S54,S55,,,,,,,,,S56,S57,,,,,,,,,,,,,,,,,,,,,,,,45,382,47,,48,,49,,,,,,,,,
235,S383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,S385,S386,S387,S388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,,,S20,,,,,,,,,,,,,,,,,,,,,,,S137,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,389,135,136,,,,,,,,,,,,,,,,
238,R32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,R38,,,,,,,,,,,,,,,,,,,,,,,,,R38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,R31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,S394,,,,S395,S396,S397,,,,,,,,,,,,,,,S398,,,,,,,,,,,,,,,,,S399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,,,,,,391,392,393,,,
243,,,,S146,,,,S147,S148,S149,,,,,,,,,,,,,,,S150,,,,,,,,,,,,,,,,,S151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,400,145,,,
244,,,,S146,,,,S147,S148,S149,,,,,,,,,,,,,,,S150,,,,,,,,,,,,,,,,,S151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,,401,,,
245,R60,,,,,,,,,,,,,,,,,,,,,,,,,,,,R60,,,,,,,,,,R60,R60,R60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,S403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,,,,,,,,,,,
247,,,,S160,,,,S161,S162,S163,,,,,,,,,,,,,,,S164,,,,,,,,,,,,,,,,,S165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,404,156,157,158,159,,,
248,,,,S172,,,,S173,S174,S175,,,,,,,,,,,,,,,S176,,,,,,,,,,,,,,,,,S177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,405,168,169,170,171,,,
249,R81,,,,,,,,,,,,,,,,,,,,,,,,,,,,R81,,,,,,,,,,R81,R81,R81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,S406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,,S407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,R80,,,,,,,,,,,,,,,,,,,,,,,,,,,,R80,,,,,,,,,,R80,R80,R80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,S160,,,,S161,S162,S163,,,,,,,,,,,,,,,S164,,,,,,,,,,,,,,,,,S165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,408,157,158,159,,,
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,S413,,,,S414,S415,S416,,,,,,,,,,,,,,,S417,,,,,,,,,,,,,,,,,S418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,410,411,412,,,
256,,,,S160,,,,S161,S162,S163,,,,,,,,,,,,,,,S164,,,,,,,,,,,,,,,,,S165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,419,159,,,
257,,,,S160,,,,S161,S162,S163,,,,,,,,,,,,,,,S164,,,,,,,,,,,,,,,,,S165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,420,,,
258,,,,,R60,,,,,,,,,R60,,,,,,,,,,,,,,,,,,,,,,,,,R60,R60,R60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,S422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421,,,,,,,,,,,
260,,,,S160,,,,S161,S162,S163,,,,,,,,,,,,,,,S164,,,,,,,,,,,,,,,,,S165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,423,156,157,158,159,,,
261,,,,S172,,,,S173,S174,S175,,,,,,,,,,,,,,,S176,,,,,,,,,,,,,,,,,S177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,424,168,169,170,171,,,
262,,,,,R81,,,,,,,,,R81,,,,,,,,,,,,,,,,,,,,,,,,,R81,R81,R81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,S425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,S426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,,,,R80,,,,,,,,,R80,,,,,,,,,,,,,,,,,,,,,,,,,R80,R80,R80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
